City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Vao,-22.6667,167.4833,77.74,84,98,20.04,NC,2023-04-18 13:47:28
135,New Norfolk,-42.7826,147.0587,58.71,79,100,2.93,AU,2023-04-18 13:46:57
136,Havelock,34.8791,-76.9013,66.18,41,0,6.91,US,2023-04-18 13:56:30
137,Airai,-8.9266,125.4092,61.66,98,100,2.42,TL,2023-04-18 13:46:49
138,Dunedin,-45.8742,170.5036,50.81,98,57,5.23,NZ,2023-04-18 13:52:43
139,Severo-Kurilsk,50.6789,156.125,32.45,98,100,22.66,RU,2023-04-18 13:47:33
140,Alibag,18.6411,72.8792,91.47,58,2,3.2,IN,2023-04-18 13:56:31
141,Kashin,57.3592,37.6081,56.93,46,98,2.15,RU,2023-04-18 13:56:31
142,Hobart,-42.8794,147.3294,59.05,76,75,8.05,AU,2023-04-18 13:46:52
143,Manokwari,-0.8667,134.0833,79.25,83,100,6.17,ID,2023-04-18 13:56:32
144,Lufilufi,-13.8745,-171.5986,74.98,77,99,14.88,WS,2023-04-18 13:47:29
145,Bratsk,56.1325,101.6142,27.09,57,100,13.11,RU,2023-04-18 13:56:32
146,Zhuhai,22.2769,113.5678,82.18,94,40,12.66,CN,2023-04-18 13:55:00
147,Georgiyevka,43.0369,74.7114,44.64,57,40,6.71,KZ,2023-04-18 13:56:33
148,Naze,28.3667,129.4833,68.92,88,100,10.49,JP,2023-04-18 13:47:09
149,Klaksvik,62.2266,-6.589,56.32,94,86,13.18,FO,2023-04-18 13:47:50
150,Trojes,41.756,19.962,59.56,73,100,4.65,AL,2023-04-18 13:56:34
151,Magole,-6.3667,37.3667,71.64,95,100,1.57,TZ,2023-04-18 13:56:34
152,Liverpool,53.4106,-2.9779,63.28,44,0,14.97,GB,2023-04-18 13:56:35
153,Tataranu,45.5167,27.3167,55.17,64,95,15.23,RO,2023-04-18 13:56:35
154,Bengkulu,-3.8004,102.2655,79.47,82,95,2.86,ID,2023-04-18 13:47:59
155,Pandan,14.0453,124.1694,80.13,87,45,8.39,PH,2023-04-18 13:56:35
156,Coahuayana,18.7333,-103.6833,76.69,62,2,2.55,MX,2023-04-18 13:47:34
157,Pangnirtung,66.1451,-65.7125,-2.2,84,0,0.0,CA,2023-04-18 13:56:36
158,Porto Novo,6.4965,2.6036,91.22,56,37,11.5,BJ,2023-04-18 13:54:11
159,Hamilton,39.1834,-84.5333,45.91,64,0,9.22,US,2023-04-18 13:45:30
160,Chokwe,-24.5333,32.9833,85.46,32,0,6.53,MZ,2023-04-18 13:56:36
161,Fukue,32.6881,128.8419,64.92,93,100,13.82,JP,2023-04-18 13:56:36
162,Zakamensk,50.3741,103.2863,35.73,81,55,3.8,RU,2023-04-18 13:56:36
163,Torbay,47.6666,-52.7314,40.28,73,75,6.91,CA,2023-04-18 13:47:12
164,Umm Lajj,25.0213,37.2685,81.73,48,0,6.44,SA,2023-04-18 13:47:25
165,Turukhansk,65.8167,87.9833,18.03,94,100,4.32,RU,2023-04-18 13:46:56
166,Udachnyy,66.4167,112.4,30.45,79,100,17.07,RU,2023-04-18 13:48:22
167,Lebu,-37.6167,-73.65,54.43,68,90,3.42,CL,2023-04-18 13:46:51
168,Mar Del Plata,-38.0023,-57.5575,59.95,86,20,5.75,AR,2023-04-18 13:44:17
169,Jian,27.1172,114.9793,71.29,97,100,5.91,CN,2023-04-18 13:56:37
170,Bluff,-46.6,168.3333,52.81,83,100,14.61,NZ,2023-04-18 13:54:22
171,Iisalmi,63.5592,27.1907,37.99,85,100,6.91,FI,2023-04-18 13:56:38
172,Laguna,38.421,-121.4238,45.28,88,0,5.75,US,2023-04-18 13:47:40
173,Cunha,-23.0744,-44.9597,68.74,67,74,6.62,BR,2023-04-18 13:56:38
174,Sao Felix Do Xingu,-6.6447,-51.995,83.93,73,95,2.44,BR,2023-04-18 13:56:38
175,Kambove,-10.8764,26.5969,70.43,80,93,6.49,CD,2023-04-18 13:56:38
176,Georgetown,5.4112,100.3354,82.33,89,20,0.0,MY,2023-04-18 13:41:51
177,Iqaluit,63.7506,-68.5145,1.13,70,40,21.85,CA,2023-04-18 13:46:48
178,Yurimaguas,-5.9,-76.0833,75.36,88,40,0.0,PE,2023-04-18 13:56:39
179,Port Hardy,50.6996,-127.4199,41.0,93,100,5.75,CA,2023-04-18 13:47:57
180,Esfarayen,37.0765,57.5101,64.06,22,100,4.83,IR,2023-04-18 13:56:39
181,Palmares Do Sul,-30.2578,-50.5097,70.47,53,6,5.1,BR,2023-04-18 13:56:39
182,Farafangana,-22.8167,47.8333,77.07,77,1,6.91,MG,2023-04-18 13:56:40
183,Tasiilaq,65.6145,-37.6368,35.76,99,100,16.53,GL,2023-04-18 13:46:46
184,Pahrump,36.2083,-115.9839,57.25,31,0,5.99,US,2023-04-18 13:48:04
185,Imbituba,-28.24,-48.6703,69.85,85,100,6.62,BR,2023-04-18 13:56:40
186,Qaanaaq,77.484,-69.3632,4.89,76,0,4.94,GL,2023-04-18 13:46:52
187,Pendleton,45.6721,-118.7886,39.43,76,0,5.99,US,2023-04-18 13:53:59
188,Cabo San Lucas,22.8909,-109.9124,72.7,73,40,6.91,MX,2023-04-18 13:42:05
189,Mount Gambier,-37.8333,140.7667,52.29,81,80,6.08,AU,2023-04-18 13:48:13
190,Impfondo,1.6381,18.0667,93.29,40,84,5.26,CG,2023-04-18 13:56:40
191,Kingsville,27.5159,-97.8561,71.56,90,100,8.05,US,2023-04-18 13:56:41
192,Salalah,17.0151,54.0924,87.89,58,20,11.5,OM,2023-04-18 13:48:16
193,Aloleng,16.1307,119.7824,82.13,77,35,1.97,PH,2023-04-18 13:56:41
194,Sicuani,-14.2694,-71.2261,52.81,58,27,2.8,PE,2023-04-18 13:56:41
195,Maningrida,-12.0667,134.2667,73.56,71,100,6.38,AU,2023-04-18 13:56:41
196,Clyde River,70.4692,-68.5914,7.03,72,0,14.97,CA,2023-04-18 13:47:27
197,Rock Sound,24.9,-76.2,77.95,77,100,8.75,BS,2023-04-18 13:56:42
198,Santona,43.4439,-3.4576,63.93,68,4,11.86,ES,2023-04-18 13:56:42
199,Antalaha,-14.9003,50.2788,78.42,89,5,9.66,MG,2023-04-18 13:56:42
200,Lagoa,39.05,-27.9833,57.15,63,99,12.41,PT,2023-04-18 13:46:59
201,Ajtos,42.7,27.25,56.62,73,93,5.59,BG,2023-04-18 13:56:42
202,Port Lincoln,-34.7333,135.8667,60.39,55,100,14.9,AU,2023-04-18 13:47:30
203,Beyneu,45.3167,55.2,60.3,17,14,13.42,KZ,2023-04-18 13:56:42
204,Chuy,-33.6971,-53.4616,64.83,51,71,9.95,UY,2023-04-18 13:47:07
205,Cairns,-16.9167,145.7667,75.15,94,100,4.61,AU,2023-04-18 13:56:43
206,Villa Maria,-32.4075,-63.2402,59.83,55,14,6.67,AR,2023-04-18 13:56:43
207,Mao,39.8885,4.2658,64.96,48,20,11.5,ES,2023-04-18 13:43:29
208,Port Blair,11.6667,92.75,84.25,75,74,1.97,IN,2023-04-18 13:56:43
209,Sambava,-14.2667,50.1667,79.16,86,7,12.06,MG,2023-04-18 13:47:18
210,Bonavista,48.6499,-53.1147,32.32,80,100,6.42,CA,2023-04-18 13:56:43
211,Manicore,-5.8092,-61.3003,80.55,94,20,3.44,BR,2023-04-18 13:56:43
212,Olafsvik,64.8945,-23.7142,45.3,93,97,14.74,IS,2023-04-18 13:47:13
213,Tomatlan,19.9333,-105.25,71.92,59,58,1.16,MX,2023-04-18 13:56:44
214,Aksu,41.1231,80.2644,66.7,22,100,7.4,CN,2023-04-18 13:56:44
215,Guerrero Negro,27.9769,-114.0611,58.42,71,100,15.88,MX,2023-04-18 13:56:44
216,Vredendal,-31.6683,18.5012,89.65,14,3,10.6,ZA,2023-04-18 13:56:44
217,Trairi,-3.2778,-39.2689,84.45,70,99,7.02,BR,2023-04-18 13:55:23
218,Port Macquarie,-31.4333,152.9167,57.88,69,98,0.69,AU,2023-04-18 13:48:25
219,Honiara,-9.4333,159.95,77.45,86,99,3.36,SB,2023-04-18 13:47:27
220,Ulladulla,-35.35,150.4667,58.62,87,94,6.24,AU,2023-04-18 13:56:45
221,Banepa,27.6298,85.5214,79.12,22,20,3.44,NP,2023-04-18 13:56:45
222,Norman Wells,65.282,-126.8329,10.44,85,100,14.97,CA,2023-04-18 13:56:45
223,Avarua,-21.2078,-159.775,77.05,65,100,11.5,CK,2023-04-18 13:46:21
224,Cheremukhovo,60.3484,59.9851,31.75,67,12,6.46,RU,2023-04-18 13:56:45
225,Kedrovyy,56.1667,91.8167,18.01,88,100,8.46,RU,2023-04-18 13:56:45
226,Meulaboh,4.1363,96.1285,80.2,82,84,2.33,ID,2023-04-18 13:47:58
227,Itoman,26.1247,127.6694,73.78,83,20,11.5,JP,2023-04-18 13:56:46
228,Dukat,62.55,155.55,19.56,96,100,5.79,RU,2023-04-18 13:56:46
229,Mugur-Aksy,50.35,90.5,12.33,64,14,6.46,RU,2023-04-18 13:56:46
